"Time","avg(process_cpu_seconds_total)/1000"
2023-07-06 20:01:00,0.0215
2023-07-06 20:01:05,0.0222
2023-07-06 20:01:10,0.0228
2023-07-06 20:01:15,0.0233
2023-07-06 20:01:20,0.0238
2023-07-06 20:01:25,0.0243
2023-07-06 20:01:30,0.0248
2023-07-06 20:01:35,0.0255
2023-07-06 20:01:40,0.0261
2023-07-06 20:01:45,0.0266
2023-07-06 20:01:50,0.0273
2023-07-06 20:01:55,0.0278
2023-07-06 20:02:00,0.0283
2023-07-06 20:02:05,0.0289
2023-07-06 20:02:10,0.0294
2023-07-06 20:02:15,0.0299
2023-07-06 20:02:20,0.0303
2023-07-06 20:02:25,0.0308
2023-07-06 20:02:30,0.0313
2023-07-06 20:02:35,0.0317
2023-07-06 20:02:40,0.0322
2023-07-06 20:02:45,0.0327
2023-07-06 20:02:50,0.0332
2023-07-06 20:02:55,0.0337
2023-07-06 20:03:00,0.0341
2023-07-06 20:03:05,0.0346
2023-07-06 20:03:10,0.0351
2023-07-06 20:03:15,0.0356
2023-07-06 20:03:20,0.0361
2023-07-06 20:03:25,0.0365
2023-07-06 20:03:30,0.0370
2023-07-06 20:03:35,0.0376
2023-07-06 20:03:40,0.0380
2023-07-06 20:03:45,0.0387
2023-07-06 20:03:50,0.0392
2023-07-06 20:03:55,0.0397
2023-07-06 20:04:00,0.0402
2023-07-06 20:04:05,0.0407
2023-07-06 20:04:10,0.0412
2023-07-06 20:04:15,0.0417
2023-07-06 20:04:20,0.0421
2023-07-06 20:04:25,0.0426
2023-07-06 20:04:30,0.0431
2023-07-06 20:04:35,0.0435
2023-07-06 20:04:40,0.0441
2023-07-06 20:04:45,0.0447
2023-07-06 20:04:50,0.0452
2023-07-06 20:04:55,0.0456
2023-07-06 20:05:00,0.0462
2023-07-06 20:05:05,0.0467
2023-07-06 20:05:10,0.0472
2023-07-06 20:05:15,0.0476
2023-07-06 20:05:20,0.0482
2023-07-06 20:05:25,0.0487
2023-07-06 20:05:30,0.0492
2023-07-06 20:05:35,0.0498
2023-07-06 20:05:40,0.0502
2023-07-06 20:05:45,0.0507
2023-07-06 20:05:50,0.0513
2023-07-06 20:05:55,0.0517
2023-07-06 20:06:00,0.0522
2023-07-06 20:06:05,0.0527
2023-07-06 20:06:10,0.0532
2023-07-06 20:06:15,0.0537
2023-07-06 20:06:20,0.0542
2023-07-06 20:06:25,0.0547
2023-07-06 20:06:30,0.0553
2023-07-06 20:06:35,0.0558
2023-07-06 20:06:40,0.0563
2023-07-06 20:06:45,0.0568
2023-07-06 20:06:50,0.0573
2023-07-06 20:06:55,0.0578
2023-07-06 20:07:00,0.0582
2023-07-06 20:07:05,0.0588
2023-07-06 20:07:10,0.0592
2023-07-06 20:07:15,0.0598
2023-07-06 20:07:20,0.0603
2023-07-06 20:07:25,0.0608
2023-07-06 20:07:30,0.0614
2023-07-06 20:07:35,0.0618
2023-07-06 20:07:40,0.0623
2023-07-06 20:07:45,0.0628
2023-07-06 20:07:50,0.0633
2023-07-06 20:07:55,0.0638
2023-07-06 20:08:00,0.0643
2023-07-06 20:08:05,0.0647
2023-07-06 20:08:10,0.0652
2023-07-06 20:08:15,0.0656
2023-07-06 20:08:20,0.0662
2023-07-06 20:08:25,0.0667
2023-07-06 20:08:30,0.0672
2023-07-06 20:08:35,0.0678
