"Time","Value"
2023-04-19 02:05:00,1.30
2023-04-19 02:05:10,1.31
2023-04-19 02:05:20,1.31
2023-04-19 02:05:30,1.31
2023-04-19 02:05:40,1.31
2023-04-19 02:05:50,1.32
2023-04-19 02:06:00,1.32
2023-04-19 02:06:10,1.32
2023-04-19 02:06:20,1.32
2023-04-19 02:06:30,1.32
2023-04-19 02:06:40,1.32
2023-04-19 02:06:50,1.33
2023-04-19 02:07:00,1.33
2023-04-19 02:07:10,1.33
2023-04-19 02:07:20,1.33
2023-04-19 02:07:30,1.34
2023-04-19 02:07:40,1.34
2023-04-19 02:07:50,1.34
2023-04-19 02:08:00,1.34
2023-04-19 02:08:10,1.34
2023-04-19 02:08:20,1.35
2023-04-19 02:08:30,1.35
2023-04-19 02:08:40,1.35
2023-04-19 02:08:50,1.35
2023-04-19 02:09:00,1.36
2023-04-19 02:09:10,1.36
2023-04-19 02:09:20,1.36
2023-04-19 02:09:30,1.36
2023-04-19 02:09:40,1.37
2023-04-19 02:09:50,1.37
2023-04-19 02:10:00,1.37
2023-04-19 02:10:10,1.37
2023-04-19 02:10:20,1.37
2023-04-19 02:10:30,1.38
2023-04-19 02:10:40,1.38
2023-04-19 02:10:50,1.38
2023-04-19 02:11:00,1.38
2023-04-19 02:11:10,1.38
2023-04-19 02:11:20,1.39
2023-04-19 02:11:30,1.39
2023-04-19 02:11:40,1.39
2023-04-19 02:11:50,1.39
2023-04-19 02:12:00,1.39
2023-04-19 02:12:10,1.40
2023-04-19 02:12:20,1.40
2023-04-19 02:12:30,1.40
2023-04-19 02:12:40,1.40
2023-04-19 02:12:50,1.40
2023-04-19 02:13:00,1.41
2023-04-19 02:13:10,1.41
2023-04-19 02:13:20,1.41
2023-04-19 02:13:30,1.41
2023-04-19 02:13:40,1.41
2023-04-19 02:13:50,1.42
2023-04-19 02:14:00,1.42
2023-04-19 02:14:10,1.42
2023-04-19 02:14:20,1.42
2023-04-19 02:14:30,1.42
2023-04-19 02:14:40,1.43
2023-04-19 02:14:50,1.43
2023-04-19 02:15:00,1.43
2023-04-19 02:15:10,1.43
2023-04-19 02:15:20,1.43
2023-04-19 02:15:30,1.44
2023-04-19 02:15:40,1.44
2023-04-19 02:15:50,1.44
2023-04-19 02:16:00,1.44
2023-04-19 02:16:10,1.44
2023-04-19 02:16:20,1.44
2023-04-19 02:16:30,1.45
2023-04-19 02:16:40,1.45
2023-04-19 02:16:50,1.45
2023-04-19 02:17:00,1.45
2023-04-19 02:17:10,1.45
2023-04-19 02:17:20,1.46
2023-04-19 02:17:30,1.46
2023-04-19 02:17:40,1.46
2023-04-19 02:17:50,1.46
2023-04-19 02:18:00,1.46
2023-04-19 02:18:10,1.47
2023-04-19 02:18:20,1.47
2023-04-19 02:18:30,1.47
2023-04-19 02:18:40,1.47
2023-04-19 02:18:50,1.47
2023-04-19 02:19:00,1.48
2023-04-19 02:19:10,1.48
2023-04-19 02:19:20,1.48
2023-04-19 02:19:30,1.48
2023-04-19 02:19:40,1.48
2023-04-19 02:19:50,1.49
2023-04-19 02:20:00,1.49
2023-04-19 02:20:10,1.49
2023-04-19 02:20:20,1.49
2023-04-19 02:20:30,1.49
2023-04-19 02:20:40,1.50
2023-04-19 02:20:50,1.50
2023-04-19 02:21:00,1.50
2023-04-19 02:21:10,1.50
2023-04-19 02:21:20,1.50
2023-04-19 02:21:30,1.50
2023-04-19 02:21:40,1.50
2023-04-19 02:21:50,1.50
2023-04-19 02:22:00,1.50
2023-04-19 02:22:10,1.51
2023-04-19 02:22:20,1.51
