"Time","avg(jvm_gc_collection_seconds_sum)"
2023-05-01 19:28:00,2.38
2023-05-01 19:28:05,2.38
2023-05-01 19:28:10,2.39
2023-05-01 19:28:15,2.39
2023-05-01 19:28:20,2.39
2023-05-01 19:28:25,2.39
2023-05-01 19:28:30,2.40
2023-05-01 19:28:35,2.40
2023-05-01 19:28:40,2.40
2023-05-01 19:28:45,2.40
2023-05-01 19:28:50,2.41
2023-05-01 19:28:55,2.41
2023-05-01 19:29:00,2.41
2023-05-01 19:29:05,2.41
2023-05-01 19:29:10,2.42
2023-05-01 19:29:15,2.42
2023-05-01 19:29:20,2.42
2023-05-01 19:29:25,2.42
2023-05-01 19:29:30,2.43
2023-05-01 19:29:35,2.43
2023-05-01 19:29:40,2.43
2023-05-01 19:29:45,2.43
2023-05-01 19:29:50,2.44
2023-05-01 19:29:55,2.44
2023-05-01 19:30:00,2.44
2023-05-01 19:30:05,2.44
2023-05-01 19:30:10,2.45
2023-05-01 19:30:15,2.45
2023-05-01 19:30:20,2.45
2023-05-01 19:30:25,2.46
2023-05-01 19:30:30,2.46
2023-05-01 19:30:35,2.46
2023-05-01 19:30:40,2.46
2023-05-01 19:30:45,2.46
2023-05-01 19:30:50,2.47
2023-05-01 19:30:55,2.47
2023-05-01 19:31:00,2.47
2023-05-01 19:31:05,2.47
2023-05-01 19:31:10,2.48
2023-05-01 19:31:15,2.48
2023-05-01 19:31:20,2.48
2023-05-01 19:31:25,2.48
2023-05-01 19:31:30,2.49
2023-05-01 19:31:35,2.49
2023-05-01 19:31:40,2.49
2023-05-01 19:31:45,2.49
2023-05-01 19:31:50,2.50
2023-05-01 19:31:55,2.50
2023-05-01 19:32:00,2.50
2023-05-01 19:32:05,2.50
2023-05-01 19:32:10,2.51
2023-05-01 19:32:15,2.51
2023-05-01 19:32:20,2.51
2023-05-01 19:32:25,2.51
2023-05-01 19:32:30,2.52
2023-05-01 19:32:35,2.52
2023-05-01 19:32:40,2.52
2023-05-01 19:32:45,2.52
2023-05-01 19:32:50,2.53
2023-05-01 19:32:55,2.53
2023-05-01 19:33:00,2.53
2023-05-01 19:33:05,2.53
2023-05-01 19:33:10,2.54
2023-05-01 19:33:15,2.54
2023-05-01 19:33:20,2.54
2023-05-01 19:33:25,2.54
2023-05-01 19:33:30,2.55
2023-05-01 19:33:35,2.55
2023-05-01 19:33:40,2.55
2023-05-01 19:33:45,2.55
2023-05-01 19:33:50,2.56
2023-05-01 19:33:55,2.56
2023-05-01 19:34:00,2.56
2023-05-01 19:34:05,2.56
2023-05-01 19:34:10,2.57
2023-05-01 19:34:15,2.57
2023-05-01 19:34:20,2.57
2023-05-01 19:34:25,2.57
2023-05-01 19:34:30,2.58
2023-05-01 19:34:35,2.58
2023-05-01 19:34:40,2.58
2023-05-01 19:34:45,2.58
2023-05-01 19:34:50,2.59
2023-05-01 19:34:55,2.59
2023-05-01 19:35:00,2.59
2023-05-01 19:35:05,2.59
2023-05-01 19:35:10,2.59
2023-05-01 19:35:15,2.60
2023-05-01 19:35:20,2.60
2023-05-01 19:35:25,2.60
2023-05-01 19:35:30,2.60
2023-05-01 19:35:35,2.61
2023-05-01 19:35:40,2.61
2023-05-01 19:35:45,2.61
2023-05-01 19:35:50,2.62
2023-05-01 19:35:55,2.62
2023-05-01 19:36:00,2.62
2023-05-01 19:36:05,2.62
2023-05-01 19:36:10,2.62
2023-05-01 19:36:15,2.63
2023-05-01 19:36:20,2.63
2023-05-01 19:36:25,2.63
2023-05-01 19:36:30,2.63
2023-05-01 19:36:35,2.63
2023-05-01 19:36:40,2.64
2023-05-01 19:36:45,2.64
2023-05-01 19:36:50,2.64
2023-05-01 19:36:55,2.64
2023-05-01 19:37:00,2.65
2023-05-01 19:37:05,2.65
2023-05-01 19:37:10,2.65
2023-05-01 19:37:15,2.65
2023-05-01 19:37:20,2.66
2023-05-01 19:37:25,2.66
2023-05-01 19:37:30,2.66
2023-05-01 19:37:35,2.66
2023-05-01 19:37:40,2.66
2023-05-01 19:37:45,2.67
2023-05-01 19:37:50,2.67
2023-05-01 19:37:55,2.67
2023-05-01 19:38:00,2.67
2023-05-01 19:38:05,2.67
2023-05-01 19:38:10,2.68
2023-05-01 19:38:15,2.68
2023-05-01 19:38:20,2.69
2023-05-01 19:38:25,2.69
2023-05-01 19:38:30,2.69
2023-05-01 19:38:35,2.69
2023-05-01 19:38:40,2.69
2023-05-01 19:38:45,2.70
2023-05-01 19:38:50,2.70
2023-05-01 19:38:55,2.70
2023-05-01 19:39:00,2.70
2023-05-01 19:39:05,2.70
2023-05-01 19:39:10,2.71
2023-05-01 19:39:15,2.71
2023-05-01 19:39:20,2.71
2023-05-01 19:39:25,2.72
2023-05-01 19:39:30,2.72
2023-05-01 19:39:35,2.72
2023-05-01 19:39:40,2.72
2023-05-01 19:39:45,2.73
2023-05-01 19:39:50,2.73
2023-05-01 19:39:55,2.73
2023-05-01 19:40:00,2.73
2023-05-01 19:40:05,2.73
2023-05-01 19:40:10,2.73
2023-05-01 19:40:15,2.74
2023-05-01 19:40:20,2.74
2023-05-01 19:40:25,2.74
2023-05-01 19:40:30,2.75
2023-05-01 19:40:35,2.75
2023-05-01 19:40:40,2.75
2023-05-01 19:40:45,2.75
2023-05-01 19:40:50,2.76
2023-05-01 19:40:55,2.76
2023-05-01 19:41:00,2.76
2023-05-01 19:41:05,2.76
2023-05-01 19:41:10,2.76
2023-05-01 19:41:15,2.77
2023-05-01 19:41:20,2.77
2023-05-01 19:41:25,2.77
2023-05-01 19:41:30,2.78
2023-05-01 19:41:35,1.40
2023-05-01 19:41:40,1.42
2023-05-01 19:41:45,1.42
2023-05-01 19:41:50,1.43
2023-05-01 19:41:55,1.45
2023-05-01 19:42:00,1.45
2023-05-01 19:42:05,1.45
2023-05-01 19:42:10,1.45
2023-05-01 19:42:15,1.45
2023-05-01 19:42:20,1.45
2023-05-01 19:42:25,1.46
2023-05-01 19:42:30,1.46
2023-05-01 19:42:35,1.46
2023-05-01 19:42:40,1.46
2023-05-01 19:42:45,1.46
2023-05-01 19:42:50,1.46
2023-05-01 19:42:55,1.46
2023-05-01 19:43:00,1.47
2023-05-01 19:43:05,1.47
2023-05-01 19:43:10,1.47
2023-05-01 19:43:15,1.47
2023-05-01 19:43:20,1.47
2023-05-01 19:43:25,1.47
2023-05-01 19:43:30,1.47
2023-05-01 19:43:35,1.47
2023-05-01 19:43:40,1.47
2023-05-01 19:43:45,1.47
2023-05-01 19:43:50,1.47
2023-05-01 19:43:55,1.47
2023-05-01 19:44:00,1.47

