"Time","avg(jvm_gc_collection_seconds_sum)"
2023-07-08 01:53:00,0.124
2023-07-08 01:53:05,0.124
2023-07-08 01:53:10,0.124
2023-07-08 01:53:15,0.124
2023-07-08 01:53:20,0.148
2023-07-08 01:53:25,0.148
2023-07-08 01:53:30,0.148
2023-07-08 01:53:35,0.148
2023-07-08 01:53:40,0.148
2023-07-08 01:53:45,0.172
2023-07-08 01:53:50,0.172
2023-07-08 01:53:55,0.172
2023-07-08 01:54:00,0.172
2023-07-08 01:54:05,0.172
2023-07-08 01:54:10,0.172
2023-07-08 01:54:15,0.172
2023-07-08 01:54:20,0.200
2023-07-08 01:54:25,0.200
2023-07-08 01:54:30,0.200
2023-07-08 01:54:35,0.200
2023-07-08 01:54:40,0.200
2023-07-08 01:54:45,0.200
2023-07-08 01:54:50,0.200
2023-07-08 01:54:55,0.200
2023-07-08 01:55:00,0.200
2023-07-08 01:55:05,0.217
2023-07-08 01:55:10,0.247
2023-07-08 01:55:15,0.247
2023-07-08 01:55:20,0.247
2023-07-08 01:55:25,0.247
2023-07-08 01:55:30,0.247
2023-07-08 01:55:35,0.263
2023-07-08 01:55:40,0.263
2023-07-08 01:55:45,0.263
2023-07-08 01:55:50,0.263
2023-07-08 01:55:55,0.263
2023-07-08 01:56:00,0.305
2023-07-08 01:56:05,0.305
2023-07-08 01:56:10,0.305
2023-07-08 01:56:15,0.305
2023-07-08 01:56:20,0.305
2023-07-08 01:56:25,0.305
2023-07-08 01:56:30,0.305
2023-07-08 01:56:35,0.305
2023-07-08 01:56:40,0.305
2023-07-08 01:56:45,0.305
2023-07-08 01:56:50,0.340
2023-07-08 01:56:55,0.358
2023-07-08 01:57:00,0.358
2023-07-08 01:57:05,0.358
2023-07-08 01:57:10,0.358
2023-07-08 01:57:15,0.358
2023-07-08 01:57:20,0.358
2023-07-08 01:57:25,0.372
2023-07-08 01:57:30,0.372
2023-07-08 01:57:35,0.372
2023-07-08 01:57:40,0.372
2023-07-08 01:57:45,0.372
2023-07-08 01:57:50,0.398
2023-07-08 01:57:55,0.398
2023-07-08 01:58:00,0.398
2023-07-08 01:58:05,0.398
2023-07-08 01:58:10,0.398
2023-07-08 01:58:15,0.398
2023-07-08 01:58:20,0.398
2023-07-08 01:58:25,0.398
2023-07-08 01:58:30,0.398
2023-07-08 01:58:35,0.398
2023-07-08 01:58:40,0.398
2023-07-08 01:58:45,0.444
2023-07-08 01:58:50,0.444
2023-07-08 01:58:55,0.444
2023-07-08 01:59:00,0.444
2023-07-08 01:59:05,0.444
2023-07-08 01:59:10,0.458
2023-07-08 01:59:15,0.458
2023-07-08 01:59:20,0.458
2023-07-08 01:59:25,0.458
2023-07-08 01:59:30,0.458
2023-07-08 01:59:35,0.489
2023-07-08 01:59:40,0.489
2023-07-08 01:59:45,0.489
2023-07-08 01:59:50,0.489
2023-07-08 01:59:55,0.489
2023-07-08 02:00:00,0.489
2023-07-08 02:00:05,0.489
2023-07-08 02:00:10,0.489
2023-07-08 02:00:15,0.489
2023-07-08 02:00:20,0.489
2023-07-08 02:00:25,0.513
2023-07-08 02:00:30,0.527
2023-07-08 02:00:35,0.527
2023-07-08 02:00:40,0.527
2023-07-08 02:00:45,0.527
2023-07-08 02:00:50,0.527
2023-07-08 02:00:55,0.543
2023-07-08 02:01:00,0.543
2023-07-08 02:01:05,0.543
2023-07-08 02:01:10,0.543
2023-07-08 02:01:15,0.571
2023-07-08 02:01:20,0.571
2023-07-08 02:01:25,0.571
2023-07-08 02:01:30,0.571
2023-07-08 02:01:35,0.571
2023-07-08 02:01:40,0.571
2023-07-08 02:01:45,0.571
2023-07-08 02:01:50,0.571
2023-07-08 02:01:55,0.571
2023-07-08 02:02:00,0.571
2023-07-08 02:02:05,0.607
2023-07-08 02:02:10,0.607
2023-07-08 02:02:15,0.607
2023-07-08 02:02:20,0.622
2023-07-08 02:02:25,0.622
2023-07-08 02:02:30,0.622
2023-07-08 02:02:35,0.622
2023-07-08 02:02:40,0.636
2023-07-08 02:02:45,0.636
2023-07-08 02:02:50,0.636
2023-07-08 02:02:55,0.664
2023-07-08 02:03:00,0.664
2023-07-08 02:03:05,0.664
2023-07-08 02:03:10,0.664
2023-07-08 02:03:15,0.664
2023-07-08 02:03:20,0.664
2023-07-08 02:03:25,0.664
2023-07-08 02:03:30,0.664
2023-07-08 02:03:35,0.664
2023-07-08 02:03:40,0.664
2023-07-08 02:03:45,0.664
2023-07-08 02:03:50,0.685
2023-07-08 02:03:55,0.685
2023-07-08 02:04:00,0.685
2023-07-08 02:04:05,0.699
2023-07-08 02:04:10,0.699
2023-07-08 02:04:15,0.699
2023-07-08 02:04:20,0.699
2023-07-08 02:04:25,0.713
2023-07-08 02:04:30,0.713
2023-07-08 02:04:35,0.713
2023-07-08 02:04:40,0.739
2023-07-08 02:04:45,0.739
2023-07-08 02:04:50,0.739
2023-07-08 02:04:55,0.739
2023-07-08 02:05:00,0.739
2023-07-08 02:05:05,0.739
2023-07-08 02:05:10,0.739
2023-07-08 02:05:15,0.739
