"Time","avg(jvm_gc_collection_seconds_sum)"
2023-04-19 02:35:00,0.483
2023-04-19 02:35:05,0.486
2023-04-19 02:35:10,0.488
2023-04-19 02:35:15,0.491
2023-04-19 02:35:20,0.493
2023-04-19 02:35:25,0.496
2023-04-19 02:35:30,0.499
2023-04-19 02:35:35,0.501
2023-04-19 02:35:40,0.503
2023-04-19 02:35:45,0.506
2023-04-19 02:35:50,0.508
2023-04-19 02:35:55,0.510
2023-04-19 02:36:00,0.513
2023-04-19 02:36:05,0.514
2023-04-19 02:36:10,0.516
2023-04-19 02:36:15,0.519
2023-04-19 02:36:20,0.521
2023-04-19 02:36:25,0.523
2023-04-19 02:36:30,0.526
2023-04-19 02:36:35,0.527
2023-04-19 02:36:40,0.529
2023-04-19 02:36:45,0.532
2023-04-19 02:36:50,0.534
2023-04-19 02:36:55,0.537
2023-04-19 02:37:00,0.538
2023-04-19 02:37:05,0.540
2023-04-19 02:37:10,0.543
2023-04-19 02:37:15,0.545
2023-04-19 02:37:20,0.547
2023-04-19 02:37:25,0.549
2023-04-19 02:37:30,0.551
2023-04-19 02:37:35,0.554
2023-04-19 02:37:40,0.556
2023-04-19 02:37:45,0.557
2023-04-19 02:37:50,0.560
2023-04-19 02:37:55,0.562
2023-04-19 02:38:00,0.565
2023-04-19 02:38:05,0.566
2023-04-19 02:38:10,0.569
2023-04-19 02:38:15,0.570
2023-04-19 02:38:20,0.574
2023-04-19 02:38:25,0.576
2023-04-19 02:38:30,0.578
2023-04-19 02:38:35,0.580
2023-04-19 02:38:40,0.583
2023-04-19 02:38:45,0.585
2023-04-19 02:38:50,0.587
2023-04-19 02:38:55,0.589
2023-04-19 02:39:00,0.591
2023-04-19 02:39:05,0.593
2023-04-19 02:39:10,0.595
2023-04-19 02:39:15,0.597
2023-04-19 02:39:20,0.599
2023-04-19 02:39:25,0.601
2023-04-19 02:39:30,0.603
2023-04-19 02:39:35,0.606
2023-04-19 02:39:40,0.607
2023-04-19 02:39:45,0.610
2023-04-19 02:39:50,0.612
2023-04-19 02:39:55,0.614
2023-04-19 02:40:00,0.617
2023-04-19 02:40:05,0.619
2023-04-19 02:40:10,0.621
2023-04-19 02:40:15,0.624
2023-04-19 02:40:20,0.626
2023-04-19 02:40:25,0.628
2023-04-19 02:40:30,0.630
2023-04-19 02:40:35,0.633
2023-04-19 02:40:40,0.636
2023-04-19 02:40:45,0.637
2023-04-19 02:40:50,0.641
2023-04-19 02:40:55,0.643
2023-04-19 02:41:00,0.645
2023-04-19 02:41:05,0.647
2023-04-19 02:41:10,0.649
