"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-05-01 19:28:00,583
2023-05-01 19:28:05,598
2023-05-01 19:28:10,608
2023-05-01 19:28:15,636
2023-05-01 19:28:20,666
2023-05-01 19:28:25,672
2023-05-01 19:28:30,682
2023-05-01 19:28:35,702
2023-05-01 19:28:40,710
2023-05-01 19:28:45,738
2023-05-01 19:28:50,765
2023-05-01 19:28:55,872
2023-05-01 19:29:00,491
2023-05-01 19:29:05,523
2023-05-01 19:29:10,542
2023-05-01 19:29:15,567
2023-05-01 19:29:20,611
2023-05-01 19:29:25,632
2023-05-01 19:29:30,684
2023-05-01 19:29:35,717
2023-05-01 19:29:40,758
2023-05-01 19:29:45,787
2023-05-01 19:29:50,826
2023-05-01 19:29:55,854
2023-05-01 19:30:00,879
2023-05-01 19:30:05,485
2023-05-01 19:30:10,507
2023-05-01 19:30:15,548
2023-05-01 19:30:20,600
2023-05-01 19:30:25,624
2023-05-01 19:30:30,659
2023-05-01 19:30:35,707
2023-05-01 19:30:40,745
2023-05-01 19:30:45,781
2023-05-01 19:30:50,825
2023-05-01 19:30:55,896
2023-05-01 19:31:00,517
2023-05-01 19:31:05,556
2023-05-01 19:31:10,572
2023-05-01 19:31:15,585
2023-05-01 19:31:20,640
2023-05-01 19:31:25,646
2023-05-01 19:31:30,666
2023-05-01 19:31:35,702
2023-05-01 19:31:40,739
2023-05-01 19:31:45,768
2023-05-01 19:31:50,786
2023-05-01 19:31:55,802
2023-05-01 19:32:00,830
2023-05-01 19:32:05,869
2023-05-01 19:32:10,486
2023-05-01 19:32:15,516
2023-05-01 19:32:20,545
2023-05-01 19:32:25,566
2023-05-01 19:32:30,611
2023-05-01 19:32:35,652
2023-05-01 19:32:40,687
2023-05-01 19:32:45,746
2023-05-01 19:32:50,794
2023-05-01 19:32:55,828
2023-05-01 19:33:00,871
2023-05-01 19:33:05,492
2023-05-01 19:33:10,531
2023-05-01 19:33:15,579
2023-05-01 19:33:20,625
2023-05-01 19:33:25,659
2023-05-01 19:33:30,671
2023-05-01 19:33:35,699
2023-05-01 19:33:40,741
2023-05-01 19:33:45,784
2023-05-01 19:33:50,829
2023-05-01 19:33:55,881
2023-05-01 19:34:00,499
2023-05-01 19:34:05,541
2023-05-01 19:34:10,567
2023-05-01 19:34:15,621
2023-05-01 19:34:20,675
2023-05-01 19:34:25,721
2023-05-01 19:34:30,770
2023-05-01 19:34:35,814
2023-05-01 19:34:40,860
2023-05-01 19:34:45,492
2023-05-01 19:34:50,562
2023-05-01 19:34:55,601
2023-05-01 19:35:00,649
2023-05-01 19:35:05,699
2023-05-01 19:35:10,706
2023-05-01 19:35:15,754
2023-05-01 19:35:20,803
2023-05-01 19:35:25,858
2023-05-01 19:35:30,893
2023-05-01 19:35:35,521
2023-05-01 19:35:40,552
2023-05-01 19:35:45,591
2023-05-01 19:35:50,632
2023-05-01 19:35:55,678
2023-05-01 19:36:00,685
2023-05-01 19:36:05,695
2023-05-01 19:36:10,689
2023-05-01 19:36:15,711
2023-05-01 19:36:20,723
2023-05-01 19:36:25,748
2023-05-01 19:36:30,771
2023-05-01 19:36:35,798
2023-05-01 19:36:40,831
2023-05-01 19:36:45,868
2023-05-01 19:36:50,477
2023-05-01 19:36:55,478
2023-05-01 19:37:00,502
2023-05-01 19:37:05,523
2023-05-01 19:37:10,543
2023-05-01 19:37:15,576
2023-05-01 19:37:20,624
2023-05-01 19:37:25,659
2023-05-01 19:37:30,702
2023-05-01 19:37:35,729
2023-05-01 19:37:40,752
2023-05-01 19:37:45,754
2023-05-01 19:37:50,780
2023-05-01 19:37:55,775
2023-05-01 19:38:00,803
2023-05-01 19:38:05,871
2023-05-01 19:38:10,480
2023-05-01 19:38:15,485
2023-05-01 19:38:20,502
2023-05-01 19:38:25,533
2023-05-01 19:38:30,571
2023-05-01 19:38:35,609
2023-05-01 19:38:40,651
2023-05-01 19:38:45,684
2023-05-01 19:38:50,713
2023-05-01 19:38:55,725
2023-05-01 19:39:00,745
2023-05-01 19:39:05,764
2023-05-01 19:39:10,775
2023-05-01 19:39:15,802
2023-05-01 19:39:20,835
2023-05-01 19:39:25,545
2023-05-01 19:39:30,573
2023-05-01 19:39:35,591
2023-05-01 19:39:40,617
2023-05-01 19:39:45,636
2023-05-01 19:39:50,655
2023-05-01 19:39:55,686
2023-05-01 19:40:00,717
2023-05-01 19:40:05,760
2023-05-01 19:40:10,789
2023-05-01 19:40:15,816
2023-05-01 19:40:20,865
2023-05-01 19:40:25,477
2023-05-01 19:40:30,494
2023-05-01 19:40:35,544
2023-05-01 19:40:40,590
2023-05-01 19:40:45,649
2023-05-01 19:40:50,685
2023-05-01 19:40:55,756
2023-05-01 19:41:00,827
2023-05-01 19:41:05,850
2023-05-01 19:41:10,875
2023-05-01 19:41:15,480
2023-05-01 19:41:20,503
2023-05-01 19:41:25,547
2023-05-01 19:41:30,592
2023-05-01 19:41:35,438
2023-05-01 19:41:40,715
2023-05-01 19:41:45,741
2023-05-01 19:41:50,755
2023-05-01 19:41:55,562
2023-05-01 19:42:00,595
2023-05-01 19:42:05,621
2023-05-01 19:42:10,621
2023-05-01 19:42:15,637
2023-05-01 19:42:20,662
2023-05-01 19:42:25,681
2023-05-01 19:42:30,473
2023-05-01 19:42:35,497
2023-05-01 19:42:40,521
2023-05-01 19:42:45,561
2023-05-01 19:42:50,592
2023-05-01 19:42:55,615
2023-05-01 19:43:00,590
2023-05-01 19:43:05,584
2023-05-01 19:43:10,550
2023-05-01 19:43:15,560
2023-05-01 19:43:20,571
2023-05-01 19:43:25,582
2023-05-01 19:43:30,592
2023-05-01 19:43:35,603
2023-05-01 19:43:40,616
2023-05-01 19:43:45,627
2023-05-01 19:43:50,638
2023-05-01 19:43:55,650
2023-05-01 19:44:00,662

