"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-04-19 03:04:00,679
2023-04-19 03:04:05,731
2023-04-19 03:04:10,726
2023-04-19 03:04:15,745
2023-04-19 03:04:20,662
2023-04-19 03:04:25,615
2023-04-19 03:04:30,724
2023-04-19 03:04:35,734
2023-04-19 03:04:40,676
2023-04-19 03:04:45,736
2023-04-19 03:04:50,607
2023-04-19 03:04:55,661
2023-04-19 03:05:00,695
2023-04-19 03:05:05,758
2023-04-19 03:05:10,653
2023-04-19 03:05:15,735
2023-04-19 03:05:20,554
2023-04-19 03:05:25,689
2023-04-19 03:05:30,664
2023-04-19 03:05:35,690
2023-04-19 03:05:40,729
2023-04-19 03:05:45,695
2023-04-19 03:05:50,738
2023-04-19 03:05:55,708
2023-04-19 03:06:00,774
2023-04-19 03:06:05,753
2023-04-19 03:06:10,660
2023-04-19 03:06:15,740
2023-04-19 03:06:20,687
2023-04-19 03:06:25,721
2023-04-19 03:06:30,708
2023-04-19 03:06:35,746
2023-04-19 03:06:40,769
2023-04-19 03:06:45,687
2023-04-19 03:06:50,648
2023-04-19 03:06:55,737
2023-04-19 03:07:00,721
2023-04-19 03:07:05,782
2023-04-19 03:07:10,738
2023-04-19 03:07:15,695
2023-04-19 03:07:20,731
2023-04-19 03:07:25,879
2023-04-19 03:07:30,672
2023-04-19 03:07:35,716
2023-04-19 03:07:40,775
2023-04-19 03:07:45,693
2023-04-19 03:07:50,661
2023-04-19 03:07:55,658
2023-04-19 03:08:00,778
2023-04-19 03:08:05,659
2023-04-19 03:08:10,748
2023-04-19 03:08:15,731
2023-04-19 03:08:20,687
2023-04-19 03:08:25,747
2023-04-19 03:08:30,716
2023-04-19 03:08:35,761
2023-04-19 03:08:40,738
2023-04-19 03:08:45,723
2023-04-19 03:08:50,744
2023-04-19 03:08:55,735
2023-04-19 03:09:00,702
2023-04-19 03:09:05,749
2023-04-19 03:09:10,702
2023-04-19 03:09:15,679
2023-04-19 03:09:20,688
2023-04-19 03:09:25,764
2023-04-19 03:09:30,792
2023-04-19 03:09:35,682
2023-04-19 03:09:40,700
2023-04-19 03:09:45,768
2023-04-19 03:09:50,667
2023-04-19 03:09:55,684
2023-04-19 03:10:00,692
2023-04-19 03:10:05,762
2023-04-19 03:10:10,648
2023-04-19 03:10:15,798
2023-04-19 03:10:20,770
2023-04-19 03:10:25,740
2023-04-19 03:10:30,747
2023-04-19 03:10:35,793
2023-04-19 03:10:40,741
2023-04-19 03:10:45,743
2023-04-19 03:10:50,777
2023-04-19 03:10:55,613
2023-04-19 03:11:00,729
2023-04-19 03:11:05,717
2023-04-19 03:11:10,664
2023-04-19 03:11:15,736
2023-04-19 03:11:20,792
2023-04-19 03:11:25,644
2023-04-19 03:11:30,716
2023-04-19 03:11:35,796
2023-04-19 03:11:40,705
2023-04-19 03:11:45,728
2023-04-19 03:11:50,802
2023-04-19 03:11:55,716
2023-04-19 03:12:00,701
2023-04-19 03:12:05,597
2023-04-19 03:12:10,734
2023-04-19 03:12:15,802
2023-04-19 03:12:20,684
2023-04-19 03:12:25,713
2023-04-19 03:12:30,737
2023-04-19 03:12:35,715
2023-04-19 03:12:40,795
2023-04-19 03:12:45,725
2023-04-19 03:12:50,769
2023-04-19 03:12:55,798
