"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-07-08 01:53:00,1003
2023-07-08 01:53:05,1023
2023-07-08 01:53:10,1044
2023-07-08 01:53:15,1063
2023-07-08 01:53:20,787
2023-07-08 01:53:25,807
2023-07-08 01:53:30,833
2023-07-08 01:53:35,852
2023-07-08 01:53:40,883
2023-07-08 01:53:45,610
2023-07-08 01:53:50,638
2023-07-08 01:53:55,657
2023-07-08 01:54:00,683
2023-07-08 01:54:05,704
2023-07-08 01:54:10,730
2023-07-08 01:54:15,751
2023-07-08 01:54:20,485
2023-07-08 01:54:25,510
2023-07-08 01:54:30,535
2023-07-08 01:54:35,558
2023-07-08 01:54:40,582
2023-07-08 01:54:45,603
2023-07-08 01:54:50,627
2023-07-08 01:54:55,648
2023-07-08 01:55:00,674
2023-07-08 01:55:05,580
2023-07-08 01:55:10,493
2023-07-08 01:55:15,516
2023-07-08 01:55:20,537
2023-07-08 01:55:25,558
2023-07-08 01:55:30,584
2023-07-08 01:55:35,481
2023-07-08 01:55:40,503
2023-07-08 01:55:45,525
2023-07-08 01:55:50,547
2023-07-08 01:55:55,575
2023-07-08 01:56:00,483
2023-07-08 01:56:05,507
2023-07-08 01:56:10,532
2023-07-08 01:56:15,555
2023-07-08 01:56:20,578
2023-07-08 01:56:25,605
2023-07-08 01:56:30,631
2023-07-08 01:56:35,652
2023-07-08 01:56:40,673
2023-07-08 01:56:45,693
2023-07-08 01:56:50,576
2023-07-08 01:56:55,476
2023-07-08 01:57:00,502
2023-07-08 01:57:05,522
2023-07-08 01:57:10,544
2023-07-08 01:57:15,563
2023-07-08 01:57:20,585
2023-07-08 01:57:25,491
2023-07-08 01:57:30,514
2023-07-08 01:57:35,538
2023-07-08 01:57:40,560
2023-07-08 01:57:45,581
2023-07-08 01:57:50,477
2023-07-08 01:57:55,498
2023-07-08 01:58:00,519
2023-07-08 01:58:05,543
2023-07-08 01:58:10,564
2023-07-08 01:58:15,587
2023-07-08 01:58:20,609
2023-07-08 01:58:25,628
2023-07-08 01:58:30,656
2023-07-08 01:58:35,678
2023-07-08 01:58:40,701
2023-07-08 01:58:45,486
2023-07-08 01:58:50,512
2023-07-08 01:58:55,532
2023-07-08 01:59:00,558
