"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-05-01 18:40:00,476
2023-05-01 18:40:05,475
2023-05-01 18:40:10,489
2023-05-01 18:40:15,515
2023-05-01 18:40:20,500
2023-05-01 18:40:25,528
2023-05-01 18:40:30,848
2023-05-01 18:40:35,861
2023-05-01 18:40:40,469
2023-05-01 18:40:45,490
2023-05-01 18:40:50,493
2023-05-01 18:40:55,548
2023-05-01 18:41:00,575
2023-05-01 18:41:05,611
2023-05-01 18:41:10,640
2023-05-01 18:41:15,619
2023-05-01 18:41:20,677
2023-05-01 18:41:25,728
2023-05-01 18:41:30,752
2023-05-01 18:41:35,790
2023-05-01 18:41:40,811
2023-05-01 18:41:45,847
2023-05-01 18:41:50,463
2023-05-01 18:41:55,513
2023-05-01 18:42:00,544
2023-05-01 18:42:05,557
2023-05-01 18:42:10,602
2023-05-01 18:42:15,657
2023-05-01 18:42:20,688
2023-05-01 18:42:25,729
2023-05-01 18:42:30,756
2023-05-01 18:42:35,776
2023-05-01 18:42:40,833
2023-05-01 18:42:45,843
2023-05-01 18:42:50,459
2023-05-01 18:42:55,479
2023-05-01 18:43:00,517
2023-05-01 18:43:05,545
2023-05-01 18:43:10,546
2023-05-01 18:43:15,571
2023-05-01 18:43:20,608
2023-05-01 18:43:25,643
2023-05-01 18:43:30,667
2023-05-01 18:43:35,672
2023-05-01 18:43:40,700
2023-05-01 18:43:45,744
2023-05-01 18:43:50,771
2023-05-01 18:43:55,834
2023-05-01 18:44:00,863
2023-05-01 18:44:05,480
2023-05-01 18:44:10,484
2023-05-01 18:44:15,487
2023-05-01 18:44:20,473
2023-05-01 18:44:25,523
2023-05-01 18:44:30,528
2023-05-01 18:44:35,542
2023-05-01 18:44:40,537
2023-05-01 18:44:45,473
2023-05-01 18:44:50,504
2023-05-01 18:44:55,540
2023-05-01 18:45:00,585
2023-05-01 18:45:05,625
2023-05-01 18:45:10,621
2023-05-01 18:45:15,632
2023-05-01 18:45:20,665
2023-05-01 18:45:25,681
2023-05-01 18:45:30,703
2023-05-01 18:45:35,697
