"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-04-19 02:05:00,718
2023-04-19 02:05:05,808
2023-04-19 02:05:10,699
2023-04-19 02:05:15,611
2023-04-19 02:05:20,696
2023-04-19 02:05:25,958
2023-04-19 02:05:30,716
2023-04-19 02:05:35,643
2023-04-19 02:05:40,554
2023-04-19 02:05:45,654
2023-04-19 02:05:50,974
2023-04-19 02:05:55,778
2023-04-19 02:06:00,706
2023-04-19 02:06:05,638
2023-04-19 02:06:10,521
2023-04-19 02:06:15,573
2023-04-19 02:06:20,906
2023-04-19 02:06:25,751
2023-04-19 02:06:30,682
2023-04-19 02:06:35,621
2023-04-19 02:06:40,728
2023-04-19 02:06:45,786
2023-04-19 02:06:50,890
2023-04-19 02:06:55,754
2023-04-19 02:07:00,673
2023-04-19 02:07:05,625
2023-04-19 02:07:10,738
2023-04-19 02:07:15,583
2023-04-19 02:07:20,653
2023-04-19 02:07:25,801
2023-04-19 02:07:30,715
2023-04-19 02:07:35,607
2023-04-19 02:07:40,710
2023-04-19 02:07:45,777
2023-04-19 02:07:50,891
2023-04-19 02:07:55,764
2023-04-19 02:08:00,706
2023-04-19 02:08:05,797
2023-04-19 02:08:10,653
2023-04-19 02:08:15,539
2023-04-19 02:08:20,921
2023-04-19 02:08:25,719
2023-04-19 02:08:30,667
2023-04-19 02:08:35,798
2023-04-19 02:08:40,631
2023-04-19 02:08:45,759
2023-04-19 02:08:50,828
2023-04-19 02:08:55,730
2023-04-19 02:09:00,683
2023-04-19 02:09:05,592
2023-04-19 02:09:10,747
2023-04-19 02:09:15,686
2023-04-19 02:09:20,666
2023-04-19 02:09:25,638
2023-04-19 02:09:30,612
2023-04-19 02:09:35,546
2023-04-19 02:09:40,862
2023-04-19 02:09:45,721
2023-04-19 02:09:50,883
2023-04-19 02:09:55,777
2023-04-19 02:10:00,743
2023-04-19 02:10:05,713
2023-04-19 02:10:10,688
2023-04-19 02:10:15,662
2023-04-19 02:10:20,638
2023-04-19 02:10:25,612
2023-04-19 02:10:30,772
2023-04-19 02:10:35,684
2023-04-19 02:10:40,633
2023-04-19 02:10:45,791
2023-04-19 02:10:50,721
2023-04-19 02:10:55,693
2023-04-19 02:11:00,662
2023-04-19 02:11:05,608
2023-04-19 02:11:10,744
2023-04-19 02:11:15,873
2023-04-19 02:11:20,788
2023-04-19 02:11:25,778
2023-04-19 02:11:30,766
2023-04-19 02:11:35,753
2023-04-19 02:11:40,739
2023-04-19 02:11:45,714
2023-04-19 02:11:50,694
2023-04-19 02:11:55,691
2023-04-19 02:12:00,674
2023-04-19 02:12:05,613
2023-04-19 02:12:10,789
2023-04-19 02:12:15,719
2023-04-19 02:12:20,688
2023-04-19 02:12:25,672
2023-04-19 02:12:30,662
2023-04-19 02:12:35,653
2023-04-19 02:12:40,641
2023-04-19 02:12:45,625
2023-04-19 02:12:50,566
2023-04-19 02:12:55,588
2023-04-19 02:13:00,579
2023-04-19 02:13:05,531
2023-04-19 02:13:10,703
2023-04-19 02:13:15,608
2023-04-19 02:13:20,756
2023-04-19 02:13:25,711
2023-04-19 02:13:30,859
2023-04-19 02:13:35,654
2023-04-19 02:13:40,601
2023-04-19 02:13:45,862
2023-04-19 02:13:50,694
2023-04-19 02:13:55,640
2023-04-19 02:14:00,569
2023-04-19 02:14:05,702
2023-04-19 02:14:10,635
2023-04-19 02:14:15,756
2023-04-19 02:14:20,884
2023-04-19 02:14:25,814
2023-04-19 02:14:30,804
2023-04-19 02:14:35,790
2023-04-19 02:14:40,774
2023-04-19 02:14:45,748
2023-04-19 02:14:50,715
2023-04-19 02:14:55,687
2023-04-19 02:15:00,669
2023-04-19 02:15:05,611
2023-04-19 02:15:10,785
2023-04-19 02:15:15,738
2023-04-19 02:15:20,717
2023-04-19 02:15:25,698
2023-04-19 02:15:30,667
2023-04-19 02:15:35,618
2023-04-19 02:15:40,764
2023-04-19 02:15:45,702
2023-04-19 02:15:50,691
2023-04-19 02:15:55,641
2023-04-19 02:16:00,809
2023-04-19 02:16:05,751
2023-04-19 02:16:10,733
2023-04-19 02:16:15,714
2023-04-19 02:16:20,695
2023-04-19 02:16:25,677
2023-04-19 02:16:30,662
2023-04-19 02:16:35,651
2023-04-19 02:16:40,640
2023-04-19 02:16:45,625
2023-04-19 02:16:50,596
2023-04-19 02:16:55,777
2023-04-19 02:17:00,709
2023-04-19 02:17:05,699
2023-04-19 02:17:10,691
2023-04-19 02:17:15,681
2023-04-19 02:17:20,647
2023-04-19 02:17:25,599
2023-04-19 02:17:30,752
2023-04-19 02:17:35,729
2023-04-19 02:17:40,709
2023-04-19 02:17:45,701
2023-04-19 02:17:50,708
2023-04-19 02:17:55,712
2023-04-19 02:18:00,727
2023-04-19 02:18:05,732
2023-04-19 02:18:10,742
2023-04-19 02:18:15,749
2023-04-19 02:18:20,744
2023-04-19 02:18:25,557
2023-04-19 02:18:30,556
2023-04-19 02:18:35,775
2023-04-19 02:18:40,758
2023-04-19 02:18:45,762
2023-04-19 02:18:50,762
2023-04-19 02:18:55,772
2023-04-19 02:19:00,777
2023-04-19 02:19:05,780
2023-04-19 02:19:10,779
2023-04-19 02:19:15,793
2023-04-19 02:19:20,804
2023-04-19 02:19:25,816
2023-04-19 02:19:30,734
2023-04-19 02:19:35,747
2023-04-19 02:19:40,768
2023-04-19 02:19:45,641
2023-04-19 02:19:50,722
2023-04-19 02:19:55,742
2023-04-19 02:20:00,757
2023-04-19 02:20:05,767
2023-04-19 02:20:10,692
2023-04-19 02:20:15,714
2023-04-19 02:20:20,733
