"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-07-06 00:35:00,428
2023-07-06 00:35:05,452
2023-07-06 00:35:10,469
2023-07-06 00:35:15,491
2023-07-06 00:35:20,509
2023-07-06 00:35:25,530
2023-07-06 00:35:30,551
2023-07-06 00:35:35,572
2023-07-06 00:35:40,591
2023-07-06 00:35:45,492
2023-07-06 00:35:50,514
2023-07-06 00:35:55,536
2023-07-06 00:36:00,556
2023-07-06 00:36:05,575
2023-07-06 00:36:10,596
2023-07-06 00:36:15,615
2023-07-06 00:36:20,633
2023-07-06 00:36:25,654
2023-07-06 00:36:30,675
2023-07-06 00:36:35,582
2023-07-06 00:36:40,600
2023-07-06 00:36:45,501
2023-07-06 00:36:50,402
2023-07-06 00:36:55,430
2023-07-06 00:37:00,452
2023-07-06 00:37:05,472
2023-07-06 00:37:10,490
2023-07-06 00:37:15,510
2023-07-06 00:37:20,529
2023-07-06 00:37:25,550
2023-07-06 00:37:30,570
2023-07-06 00:37:35,589
2023-07-06 00:37:40,612
2023-07-06 00:37:45,631
2023-07-06 00:37:50,648
2023-07-06 00:37:55,546
2023-07-06 00:38:00,566
2023-07-06 00:38:05,588
2023-07-06 00:38:10,608
2023-07-06 00:38:15,626
2023-07-06 00:38:20,529
2023-07-06 00:38:25,549
2023-07-06 00:38:30,568
2023-07-06 00:38:35,591
2023-07-06 00:38:40,494
2023-07-06 00:38:45,511
2023-07-06 00:38:50,534
2023-07-06 00:38:55,552
2023-07-06 00:39:00,450
2023-07-06 00:39:05,471
2023-07-06 00:39:10,492
2023-07-06 00:39:15,509
2023-07-06 00:39:20,530
2023-07-06 00:39:25,550
2023-07-06 00:39:30,571
2023-07-06 00:39:35,593
2023-07-06 00:39:40,612
2023-07-06 00:39:45,632
2023-07-06 00:39:50,655
2023-07-06 00:39:55,677
2023-07-06 00:40:00,578
2023-07-06 00:40:05,485
2023-07-06 00:40:10,502
2023-07-06 00:40:15,524
2023-07-06 00:40:20,544
2023-07-06 00:40:25,566
2023-07-06 00:40:30,589
2023-07-06 00:40:35,492
2023-07-06 00:40:40,512
2023-07-06 00:40:45,533
2023-07-06 00:40:50,554
2023-07-06 00:40:55,465
2023-07-06 00:41:00,488
2023-07-06 00:41:05,509
2023-07-06 00:41:10,533
2023-07-06 00:41:15,554
2023-07-06 00:41:20,576
2023-07-06 00:41:25,597
2023-07-06 00:41:30,617
2023-07-06 00:41:35,636
2023-07-06 00:41:40,659
2023-07-06 00:41:45,682
2023-07-06 00:41:50,469
2023-07-06 00:41:55,492
2023-07-06 00:42:00,512
2023-07-06 00:42:05,537
2023-07-06 00:42:10,558
2023-07-06 00:42:15,583
2023-07-06 00:42:20,604
2023-07-06 00:42:25,625
2023-07-06 00:42:30,527
2023-07-06 00:42:35,549
2023-07-06 00:42:40,572
2023-07-06 00:42:45,476
2023-07-06 00:42:50,499
2023-07-06 00:42:55,519
2023-07-06 00:43:00,543
2023-07-06 00:43:05,564
2023-07-06 00:43:10,585
2023-07-06 00:43:15,610
2023-07-06 00:43:20,631
2023-07-06 00:43:25,654
2023-07-06 00:43:30,675
2023-07-06 00:43:35,581
2023-07-06 00:43:40,482
2023-07-06 00:43:45,501
2023-07-06 00:43:50,528
2023-07-06 00:43:55,552
2023-07-06 00:44:00,573
2023-07-06 00:44:05,596
2023-07-06 00:44:10,616
2023-07-06 00:44:15,635
2023-07-06 00:44:20,658
2023-07-06 00:44:25,561
2023-07-06 00:44:30,584
2023-07-06 00:44:35,482
2023-07-06 00:44:40,502
2023-07-06 00:44:45,525
2023-07-06 00:44:50,548
2023-07-06 00:44:55,574
2023-07-06 00:45:00,595
2023-07-06 00:45:05,615
2023-07-06 00:45:10,638
2023-07-06 00:45:15,660
2023-07-06 00:45:20,564
2023-07-06 00:45:25,586
2023-07-06 00:45:30,472
2023-07-06 00:45:35,498
2023-07-06 00:45:40,519
2023-07-06 00:45:45,538
2023-07-06 00:45:50,561
2023-07-06 00:45:55,586
2023-07-06 00:46:00,610
2023-07-06 00:46:05,635
2023-07-06 00:46:10,657
2023-07-06 00:46:15,678
2023-07-06 00:46:20,469
2023-07-06 00:46:25,490
2023-07-06 00:46:30,514
2023-07-06 00:46:35,539
2023-07-06 00:46:40,565
2023-07-06 00:46:45,588
2023-07-06 00:46:50,614
2023-07-06 00:46:55,637
2023-07-06 00:47:00,660
2023-07-06 00:47:05,459
2023-07-06 00:47:10,483
2023-07-06 00:47:15,508
2023-07-06 00:47:20,529
2023-07-06 00:47:25,554
2023-07-06 00:47:30,578
2023-07-06 00:47:35,603
2023-07-06 00:47:40,632
2023-07-06 00:47:45,654
2023-07-06 00:47:50,564
2023-07-06 00:47:55,585
2023-07-06 00:48:00,609
2023-07-06 00:48:05,633
2023-07-06 00:48:10,653
2023-07-06 00:48:15,556
2023-07-06 00:48:20,578
2023-07-06 00:48:25,600
2023-07-06 00:48:30,622
2023-07-06 00:48:35,645
