"Time","avg(jvm_memory_pool_bytes_used) / 100000"
2023-07-08 04:52:00,415
2023-07-08 04:52:05,358
2023-07-08 04:52:10,426
2023-07-08 04:52:15,505
2023-07-08 04:52:20,385
2023-07-08 04:52:25,474
2023-07-08 04:52:30,244
2023-07-08 04:52:35,323
2023-07-08 04:52:40,233
2023-07-08 04:52:45,286
2023-07-08 04:52:50,402
2023-07-08 04:52:55,318
2023-07-08 04:53:00,386
2023-07-08 04:53:05,292
2023-07-08 04:53:10,350
2023-07-08 04:53:15,281
2023-07-08 04:53:20,339
2023-07-08 04:53:25,418
2023-07-08 04:53:30,298
2023-07-08 04:53:35,387
2023-07-08 04:53:40,361
2023-07-08 04:53:45,424
2023-07-08 04:53:50,303
2023-07-08 04:53:55,387
2023-07-08 04:54:00,277
2023-07-08 04:54:05,398
2023-07-08 04:54:10,435
2023-07-08 04:54:15,346
2023-07-08 04:54:20,456
2023-07-08 04:54:25,341
2023-07-08 04:54:30,435
2023-07-08 04:54:35,393
2023-07-08 04:54:40,488
2023-07-08 04:54:45,399
2023-07-08 04:54:50,305
2023-07-08 04:54:55,184
2023-07-08 04:55:00,247
2023-07-08 04:55:05,321
2023-07-08 04:55:10,284
2023-07-08 04:55:15,347
2023-07-08 04:55:20,242
2023-07-08 04:55:25,326
2023-07-08 04:55:30,211
2023-07-08 04:55:35,300
2023-07-08 04:55:40,216
2023-07-08 04:55:45,353
2023-07-08 04:55:50,432
2023-07-08 04:55:55,348
2023-07-08 04:56:00,432
2023-07-08 04:56:05,348
2023-07-08 04:56:10,426
2023-07-08 04:56:15,316
2023-07-08 04:56:20,421
2023-07-08 04:56:25,368
2023-07-08 04:56:30,447
2023-07-08 04:56:35,337
2023-07-08 04:56:40,421
2023-07-08 04:56:45,463
2023-07-08 04:56:50,374
2023-07-08 04:56:55,426
2023-07-08 04:57:00,343
2023-07-08 04:57:05,316
2023-07-08 04:57:10,217
2023-07-08 04:57:15,306
2023-07-08 04:57:20,243
2023-07-08 04:57:25,343
2023-07-08 04:57:30,254
2023-07-08 04:57:35,364
2023-07-08 04:57:40,264
2023-07-08 04:57:45,369
2023-07-08 04:57:50,286
2023-07-08 04:57:55,390
2023-07-08 04:58:00,307
2023-07-08 04:58:05,401
2023-07-08 04:58:10,307
2023-07-08 04:58:15,428
2023-07-08 04:58:20,359
2023-07-08 04:58:25,485
2023-07-08 04:58:30,354
2023-07-08 04:58:35,465
2023-07-08 04:58:40,360
2023-07-08 04:58:45,460
2023-07-08 04:58:50,371
2023-07-08 04:58:55,465
2023-07-08 04:59:00,360
2023-07-08 04:59:05,455
2023-07-08 04:59:10,397
2023-07-08 04:59:15,513
